EmployeeID,Age,Gender,MaritalStatus,City,Education,Department,JobRole,MonthlyIncome,YearsAtCompany,NumCompaniesWorked,DistanceFromHome_km,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,TrainingTimesLastYear,Attrition
EMP01001,33,Male,Divorced,Chennai,Master,Engineering,Software Engineer,188926,4,4,13,Yes,4,2,3,5,No
EMP01002,28,Male,Married,Pune,Master,Marketing,Marketing Analyst,101240,15,4,2,No,2,1,3,1,No
EMP01003,50,Male,Married,Mumbai,Below College,Finance,Finance Manager,41322,19,2,7,Yes,4,3,3,5,Yes
EMP01004,32,Female,Single,Mumbai,Bachelor,HR,HR Manager,138053,4,5,15,No,2,1,4,4,No
EMP01005,54,Male,Married,Delhi,Bachelor,Sales,Sales Executive,31968,2,1,25,Yes,4,1,3,3,Yes
EMP01006,27,Male,Single,Pune,Master,Sales,Sales Executive,52518,11,4,11,Yes,2,1,3,2,Yes
EMP01007,36,Male,Single,Pune,Bachelor,Sales,Sales Executive,76925,0,4,2,No,4,4,3,0,Yes
EMP01008,53,Male,Divorced,Chennai,Bachelor,Operations,Process Executive,136900,8,5,7,No,1,4,3,1,No
EMP01009,32,Male,Divorced,Mumbai,Bachelor,HR,HR Executive,118422,8,5,4,Yes,4,4,3,0,No
EMP01010,44,Male,Single,Bangalore,Bachelor,Finance,Finance Manager,26700,3,3,11,No,2,3,3,2,No
EMP01011,47,Female,Single,Delhi,Bachelor,Sales,Account Manager,118782,2,5,29,Yes,2,1,4,4,Yes
EMP01012,55,Female,Single,Pune,Bachelor,Marketing,Digital Marketing Executive,48199,16,4,2,Yes,3,1,3,4,No
EMP01013,55,Male,Married,Hyderabad,College,Operations,Operations Analyst,188187,1,2,29,No,4,4,3,2,No
EMP01014,50,Male,Single,Hyderabad,College,Sales,Account Manager,30520,0,1,16,No,1,1,3,5,Yes
EMP01015,25,Female,Single,Bangalore,Bachelor,Sales,Sales Manager,134814,7,7,7,Yes,4,1,3,2,No
EMP01016,38,Female,Single,Mumbai,Master,Sales,Sales Executive,192527,12,3,13,Yes,4,2,3,1,Yes
EMP01017,56,Male,Married,Mumbai,Bachelor,Engineering,Software Engineer,148364,14,7,5,Yes,1,1,3,3,Yes
EMP01018,34,Female,Married,Mumbai,Bachelor,Engineering,Software Engineer,197677,7,2,17,Yes,4,2,3,0,No
EMP01019,36,Female,Married,Chennai,Bachelor,Engineering,Data Analyst,39955,11,1,21,No,1,1,3,0,No
EMP01020,50,Female,Married,Hyderabad,Bachelor,Engineering,Data Analyst,169989,11,1,12,No,1,3,3,4,Yes
EMP01021,50,Male,Divorced,Mumbai,Master,HR,Recruiter,89925,13,1,28,Yes,4,4,3,5,Yes
EMP01022,32,Male,Divorced,Hyderabad,College,Sales,Account Manager,132216,14,6,19,No,4,2,3,4,Yes
EMP01023,53,Male,Single,Bangalore,Master,Engineering,Software Engineer,95269,14,2,7,No,2,4,3,1,Yes
EMP01024,23,Female,Single,Delhi,Master,Engineering,Data Analyst,187026,8,3,6,Yes,2,2,4,2,Yes
